roc_top_bs,roc_entire_bs,roc_top_covid,roc_entire_covid,roc_top_celeb,roc_entire_celeb
0.7291666666666666,0.7329580988117573,0.7125947856206704,0.7271272066753703,0.49059623849539813,0.6038415366146458
0.5935025935025935,0.7529380341880342,0.7310670691691823,0.7441734826656753,0.5931313131313132,0.5139573070607554
0.5525335320417287,0.6870967741935483,0.730422183912262,0.7125717703349281,0.46875,0.5745192307692308
0.5547588005215124,0.7448621553884711,0.7478986485664585,0.7355293221629855,0.5503220611916264,0.5982286634460547
0.5751260504201681,0.7754846779237023,0.7236056933221882,0.7448105511240029,0.5214198286413709,0.45899632802937573
0.5305555555555556,0.6408045977011494,0.7021680216802169,0.7227217696909858,0.5596,0.6024
0.6460653970535393,0.6841776110068792,0.7091234474258082,0.755605673927236,0.578,0.5897435897435898
0.5229272811486799,0.7449965493443754,0.6887856391121318,0.7391834743005854,0.5466666666666666,0.6217948717948717
0.5340277777777778,0.7545161290322581,0.6944335214655811,0.7016823005117567,0.4552,0.5760000000000001
0.5090020576131687,0.7000983284169126,0.7341305584526405,0.7502008686842809,0.582,0.6826730692276911
0.540725806451613,0.6861290322580644,0.7228162074244164,0.7528558286852125,0.641025641025641,0.6029706945002007
0.6391129032258065,0.7450980392156863,0.7234426887567055,0.7505263157894737,0.5640305098354075,0.6716178241670012
0.47196870925684486,0.7635854341736695,0.6801834595224228,0.7578772802653401,0.5853658536585366,0.6477511559478772
0.5435341136168997,0.7408045977011495,0.7292261367058115,0.7213700018426387,0.4941976790716287,0.5766306522609044
0.5606951871657755,0.7082706766917294,0.7246221315416094,0.7563333140977553,0.5242874347651545,0.5958383353341336
0.6322106078203639,0.7607879924953095,0.6865162427123614,0.705055070173808,0.5856,0.6017663588920112
0.579861111111111,0.7829032258064517,0.7156045265038714,0.748197669062097,0.598639455782313,0.6193181818181819
0.5701052631578947,0.7216129032258065,0.7107494313274703,0.7420854344172026,0.5781818181818181,0.5898989898989899
0.5766116941529236,0.7651722252597047,0.7081611073728733,0.7326454033771105,0.44104447164422683,0.553939393939394
0.560763888888889,0.7043108682452944,0.692349648170125,0.7576473381209567,0.5283333333333332,0.6166456494325347
0.6281249999999999,0.7324929971988796,0.7082926829268292,0.7276467424268435,0.5110044017607043,0.5576923076923077
0.5795138888888889,0.6967741935483871,0.7291282835656597,0.7478825976533321,0.5010036130068246,0.5342190016103059
0.6461478900503289,0.6697478991596638,0.701339593808538,0.7157745769419892,0.5016233766233766,0.5467980295566502
0.5792310456342077,0.7663793103448275,0.7390536383735461,0.7474526502965572,0.5528846153846153,0.5369458128078818
0.6970443349753696,0.6280727630285152,0.7105657712133228,0.7911715269696862,0.49777777777777776,0.6326530612244897
0.6137426900584795,0.6940951339529797,0.6947322032261181,0.736858076563959,0.5953525641025641,0.5384615384615385
0.6274630541871921,0.7459935897435898,0.7143180551685706,0.7315667940667941,0.5189210950080515,0.6978791516606643
0.6246527777777778,0.6378394332939787,0.7197603583957524,0.7605004832492984,0.6391919191919192,0.6300322061191626
0.49658641753503413,0.7011217948717949,0.6804404761904762,0.7384156738879161,0.5634434924520604,0.5545977011494254
0.5257142857142857,0.7644257703081232,0.6934612233918986,0.7261963118580765,0.6143317230273752,0.5889694041867954
0.5696649029982364,0.8036666666666666,0.7027202639043347,0.7811805775944145,0.5740514075887393,0.5993472052223582
0.6119883040935672,0.7695652173913045,0.728643216080402,0.7512488155262572,0.537133681252509,0.5074267362505018
0.6460905349794239,0.7184149184149184,0.7034054133568697,0.7506611657674812,0.4909963985594238,0.5600961538461539
0.6503772906934963,0.7726168791742563,0.7036770312632382,0.7470333020637898,0.4405834405834406,0.6533333333333333
0.5637108792846498,0.7173333333333334,0.7096449936255761,0.7470154152888544,0.6196,0.6318993506493507
0.5597290640394089,0.7163009404388715,0.7217050613348789,0.7331765199063776,0.48645320197044334,0.6219806763285024
