bias,conspiracy,hate,satire,junk,state
0.11987765,0.11918824,0.12115326,0.12612976,0.11350754,0.12708707
0.13386415,0.12882961,0.1281698,0.1359636,0.12845692,0.13183439
0.13392112,0.13045295,0.1254638,0.1468686,0.13005006,0.12849666
0.135276,0.12992467,0.12835923,0.15050806,0.13743024,0.13711008
0.1211753,0.1193187,0.12582973,0.1300024,0.13470171,0.12302203
0.11690961,0.121601984,0.11450917,0.13672498,0.12161342,0.11195959
0.10823446,0.109557666,0.104477316,0.10505332,0.099341445,0.11152885
0.13885091,0.1368311,0.14337425,0.15978073,0.14488092,0.1562703
0.13633217,0.13905248,0.1251161,0.15487815,0.13029261,0.13678491
0.13338843,0.13337596,0.13033782,0.15821564,0.1378469,0.12579577
0.118669614,0.116935685,0.13428721,0.11873466,0.12762603,0.12808381
0.13213821,0.12575744,0.12921588,0.14756747,0.14178222,0.12647697
0.14803499,0.12760477,0.12836523,0.14624178,0.13109498,0.161938
0.1341721,0.12991665,0.13256332,0.14321151,0.12995347,0.15223086
0.10826749,0.10269739,0.099826224,0.12552765,0.11077816,0.114429384
0.10948085,0.11446097,0.114602625,0.13570324,0.0976078,0.117916346
0.1155227,0.12189242,0.116350606,0.12323238,0.14110972,0.117283024
0.10156725,0.10397395,0.108006716,0.11738867,0.11484137,0.09782641
0.12989503,0.1323053,0.13823988,0.14478071,0.12829846,0.13979904
0.1189959,0.11687251,0.12293992,0.12723929,0.12079485,0.1349304
0.111758344,0.115969315,0.12877512,0.1172205,0.16021787,0.11823743
0.11118963,0.117369704,0.11314061,0.12517223,0.14227174,0.11719831
0.10583741,0.10939605,0.10857669,0.11907868,0.11563944,0.11039945
0.10784776,0.106948666,0.103578,0.109262325,0.10112617,0.11514595
0.110262394,0.104486294,0.09964707,0.12370518,0.13481823,0.10532659
0.12024602,0.11677487,0.1222771,0.12466318,0.1099628,0.1329535
0.12981924,0.13442133,0.12990926,0.13404632,0.13112535,0.13968219
0.09914712,0.10745081,0.100963585,0.104880266,0.134792,0.0981967
0.15495569,0.14929931,0.14695974,0.17004532,0.1586257,0.15856047
0.121175244,0.121188544,0.12525667,0.12960361,0.13759482,0.12545988
0.10640958,0.1111453,0.10380379,0.11238254,0.10793485,0.10127235
0.09314574,0.09478809,0.10799161,0.12733822,0.08649405,0.095133655
0.096262604,0.10420261,0.11040289,0.11128501,0.10019929,0.10746043
0.109415404,0.11190887,0.10081308,0.11842435,0.11829867,0.10204761
0.13465524,0.1382695,0.14898303,0.15472318,0.12512699,0.14881268
0.11264474,0.11758898,0.10619796,0.13131315,0.1318145,0.09857231
0.10636662,0.11022001,0.1034925,0.12066858,0.10354525,0.107862085
0.13336723,0.1280614,0.1304834,0.13890836,0.14195856,0.14179853
0.10844743,0.11722725,0.10470115,0.12631452,0.10777457,0.11036153
0.12265643,0.120787755,0.118426405,0.11892423,0.14144965,0.12966472
0.12876983,0.12711483,0.123369314,0.13811196,0.15143374,0.1254806
0.13303639,0.13292228,0.13795535,0.1415415,0.14977288,0.15252146
0.11561422,0.12581624,0.134068,0.13701735,0.13084094,0.13109158
0.1437,0.12567054,0.121032454,0.14487657,0.11887533,0.12759046
0.12775752,0.13547333,0.12547402,0.14433189,0.14121743,0.13246082
0.12690331,0.12149891,0.1273678,0.12868226,0.116653994,0.1442036
0.121231146,0.12144954,0.12846217,0.1319265,0.114094235,0.13728629
0.1046774,0.11063901,0.11022733,0.11465298,0.12943552,0.10288782
0.12774202,0.1350124,0.13187063,0.1491613,0.13820553,0.13089496
0.12456654,0.123608045,0.12642346,0.1350834,0.12591927,0.13928744
0.12181388,0.1248719,0.11849226,0.1333743,0.152393,0.12658331
0.09757482,0.1019347,0.09629238,0.09841489,0.11665831,0.107131295
0.12961462,0.129871,0.12984717,0.13385294,0.13708124,0.13919304
0.13250162,0.1287229,0.1279586,0.15641744,0.13166998,0.13385859
0.1151252,0.11189371,0.12525827,0.12356038,0.12878263,0.12588915
0.12461959,0.13122892,0.12589917,0.14208813,0.124514855,0.12961213
0.14424135,0.13830294,0.13392586,0.16573438,0.1400254,0.14069422
0.13069025,0.12181957,0.12191626,0.14828752,0.12328621,0.13420425
0.1351936,0.133693,0.12816328,0.16469377,0.15148742,0.14546919
0.12719467,0.12576182,0.12274107,0.14722733,0.13572787,0.12838252
0.1294409,0.12201222,0.13105476,0.14358418,0.14105597,0.15963182
0.09421394,0.101177186,0.102742426,0.101713315,0.12948117,0.09090046
0.121756665,0.11597118,0.11624126,0.12873591,0.1280284,0.12026219
0.13195536,0.12731591,0.13363639,0.12673923,0.13279119,0.14336371
0.109434664,0.10119628,0.114393875,0.112686224,0.10107226,0.12138049
0.14030415,0.13700414,0.13898967,0.14594966,0.14128883,0.15806001
0.104437634,0.10878872,0.11280192,0.13494326,0.09974672,0.12644722
0.10309723,0.1089117,0.10402803,0.102506995,0.09702314,0.11941143
0.14534312,0.14680044,0.14011225,0.19031028,0.15387905,0.14171903
0.11894003,0.116736144,0.1064495,0.112457894,0.13996017,0.120721206
0.15207759,0.16186804,0.1455191,0.19728749,0.15117066,0.13634026
0.11479362,0.11182906,0.113515094,0.12735401,0.10909497,0.12987864
0.11744838,0.11541246,0.119665794,0.117321335,0.14031284,0.1267081
0.13638954,0.13335082,0.12800722,0.14158857,0.12980226,0.13641463
0.11976417,0.119850166,0.12763439,0.13648517,0.13254839,0.14374097
0.12695654,0.12851627,0.13016507,0.13455115,0.12703478,0.13989682
0.10249408,0.1096635,0.09731661,0.11733482,0.1404279,0.097613
0.103693314,0.105347335,0.11226377,0.12340821,0.09518643,0.11553395
0.13213111,0.12532456,0.12098612,0.12793411,0.12502658,0.14082873
0.12015645,0.11659645,0.110390134,0.13223447,0.122877024,0.10310763
0.12487976,0.11572891,0.113412604,0.12982418,0.105896644,0.12354479
0.13519712,0.13322003,0.13408515,0.15724432,0.1503041,0.1545532
0.13020366,0.13117012,0.13783893,0.13170134,0.12350154,0.16960154
0.115915716,0.113350846,0.110263206,0.12855938,0.12725382,0.112530656
0.13189116,0.1288464,0.12618133,0.14466785,0.13786341,0.12284595
0.12136858,0.1183497,0.12349243,0.12142636,0.117384784,0.14497928
0.14425944,0.14790437,0.13135223,0.16951895,0.14676555,0.14100195
0.13128963,0.12220016,0.124407835,0.122756004,0.101925835,0.15184839
0.14951593,0.15557782,0.151093,0.17345624,0.15411606,0.14960286
0.11249765,0.118533246,0.10675729,0.120738976,0.115389146,0.11623686
0.13377298,0.123159274,0.10770687,0.124392465,0.13585529,0.10916787
0.1443838,0.1486718,0.13172661,0.17269674,0.13750876,0.14903292
0.11214328,0.114075355,0.12350206,0.11688409,0.10636173,0.12317521
0.117206976,0.1171143,0.119598225,0.12804408,0.12878685,0.13603106
0.1381525,0.12946229,0.12015159,0.1258525,0.121227585,0.14418018
0.14168875,0.12854744,0.13035724,0.12421434,0.12752946,0.14260432
0.13141981,0.12810893,0.1236609,0.14455968,0.14051257,0.13504604
0.11386564,0.109245576,0.1082899,0.12268654,0.09221035,0.12836815
0.14799693,0.14193271,0.14053479,0.16694357,0.14902659,0.14190021
0.087823175,0.090680644,0.087502904,0.080710836,0.14078933,0.08854335
0.1400178,0.1368808,0.14032122,0.14597718,0.14165674,0.15992387
0.10772513,0.10393171,0.09709483,0.09975046,0.10576913,0.10551722
0.12856533,0.12472265,0.12668307,0.11008832,0.1272336,0.14541687
0.13047482,0.13348147,0.12786718,0.1528581,0.13736214,0.14234865
0.11450098,0.10916563,0.11214584,0.11552248,0.10928218,0.13743846
0.110107,0.11445822,0.11069673,0.10903485,0.13736375,0.11003701
0.13418686,0.12748897,0.13042715,0.15381572,0.14037743,0.13278891
0.114487275,0.12105519,0.12059229,0.1184204,0.14267504,0.12045769
0.11052053,0.10839927,0.11449602,0.10980857,0.1273222,0.11978622
0.12487976,0.11572891,0.113412604,0.12982418,0.105896644,0.12354479
0.102683425,0.11031406,0.11381466,0.11236861,0.12199054,0.10125289
0.13252449,0.12972364,0.1292597,0.14268708,0.14137702,0.14193644
0.14031446,0.14123815,0.1304382,0.16940923,0.14928456,0.13517258
0.12958936,0.12481669,0.12727952,0.12583089,0.14637311,0.13512935
0.123677045,0.120037496,0.12044246,0.14714766,0.121834755,0.12397782
0.13235898,0.1339372,0.12953049,0.14324264,0.14184524,0.1378074
0.13556927,0.13695745,0.14590365,0.15683769,0.15790007,0.14039823
0.13635787,0.13318983,0.12250181,0.14519882,0.13068669,0.13896634
0.11046797,0.11485506,0.12034265,0.12693055,0.10847715,0.13408163
0.11718219,0.12225659,0.112279154,0.13295574,0.13771966,0.1108604
0.1351885,0.13587134,0.13502158,0.15801293,0.15877292,0.14072256
0.12875903,0.12603384,0.1259191,0.14494045,0.14105767,0.12129417
0.15362868,0.14827399,0.14248404,0.16913109,0.1525525,0.15717475
0.1181892,0.12041425,0.1316289,0.12575765,0.12678105,0.12538025
0.13621704,0.13320951,0.1277975,0.14176428,0.12962891,0.13632178
0.09777,0.107953064,0.09379413,0.10783931,0.12546998,0.093231685
0.11806264,0.11942464,0.12397357,0.13264021,0.11622065,0.1545834
0.14324702,0.14029527,0.13367014,0.15608966,0.13628018,0.13930634
0.12317298,0.11703029,0.11756001,0.12918591,0.13754188,0.13438407
0.103957996,0.10199222,0.106109776,0.102941945,0.13545066,0.10830423
0.118032895,0.112184405,0.11598355,0.13425153,0.11393768,0.1387224
0.13608901,0.13670436,0.13105913,0.1484691,0.14626554,0.1347112
0.10353251,0.10858693,0.09318333,0.105149746,0.14357282,0.10391578
0.15654007,0.1432494,0.1407824,0.15849324,0.13294004,0.16058788
0.08809217,0.09684294,0.09180721,0.0935552,0.12695122,0.08515929
0.13029133,0.1323482,0.12832694,0.14382444,0.13034117,0.13817497
0.11499275,0.11830719,0.11815143,0.1371802,0.12338626,0.11741905
0.12722705,0.12182612,0.1294916,0.12573905,0.1520678,0.13280894
0.15649332,0.14492564,0.14096522,0.16553013,0.15974717,0.14117663
0.12105814,0.12337269,0.12704602,0.13373956,0.12357254,0.13174066
0.1241862,0.1253833,0.1150601,0.13360307,0.12774311,0.11216803
0.13910708,0.1372452,0.1511068,0.15963076,0.13333733,0.1681305
0.13312665,0.14207172,0.13300219,0.1665147,0.14334776,0.12738706
0.12776531,0.13286847,0.13661619,0.13822235,0.15277722,0.12993261
0.12258182,0.12877683,0.1250726,0.15704904,0.13598149,0.12561108
0.1176398,0.11668355,0.114618056,0.12672003,0.11558736,0.13401334
0.11820716,0.12006071,0.11974367,0.13617678,0.12519486,0.11724817
0.15301524,0.15665688,0.14023964,0.18949762,0.17483477,0.12970759
0.13565171,0.14533643,0.14524794,0.1675836,0.16040517,0.12134449
0.12452211,0.11762199,0.114898644,0.14715348,0.10901419,0.13413994
0.11739432,0.11965083,0.11678765,0.11901399,0.14099437,0.11732141
0.14415641,0.13492785,0.12942865,0.14228167,0.13016388,0.15333444
0.10833988,0.106506936,0.10693632,0.12466792,0.10472062,0.14388655
0.110214226,0.11390652,0.11510665,0.123521365,0.12222852,0.12445979
0.116163395,0.113513865,0.11980838,0.11435953,0.12957098,0.12447213
0.12652755,0.13009948,0.1326068,0.14567421,0.14125176,0.14096817
0.1357792,0.13444853,0.13671051,0.13881883,0.12468729,0.16867425
0.10425902,0.11195484,0.11441654,0.12705298,0.108380124,0.123596594
0.111814156,0.12533802,0.12012103,0.14311503,0.12874794,0.111278936
0.10692471,0.12099958,0.11736618,0.13323002,0.12995496,0.10857401
0.1147189,0.097578086,0.10520301,0.1062904,0.11672995,0.12474592
0.13822152,0.1364731,0.124888726,0.17338166,0.14640507,0.12748246
0.12559241,0.122224316,0.1247385,0.13393188,0.12936527,0.13297658
0.15119375,0.14826423,0.14390236,0.18315004,0.1562332,0.15833819
0.11797779,0.11546188,0.11020233,0.14085676,0.13652387,0.102796204
0.10751901,0.114245825,0.10079576,0.12292909,0.121913545,0.10546325
0.10959085,0.120192006,0.106732264,0.12497726,0.11404247,0.10617695
0.14777492,0.15228018,0.14777133,0.16484776,0.15030344,0.14878179
0.13758606,0.14195544,0.13444643,0.17616804,0.14756884,0.12159358
0.14978625,0.15430763,0.14457797,0.18431114,0.17293316,0.14826006
0.10235583,0.11205867,0.10823288,0.11991047,0.12862313,0.103163555
0.1561584,0.15206036,0.14503372,0.17964713,0.1528516,0.15174845
0.11336722,0.11469532,0.117262095,0.122081645,0.12267661,0.11335284
0.10617,0.11206293,0.10864029,0.10594768,0.13461532,0.11980527
0.12897907,0.12895237,0.13470857,0.1524196,0.13474093,0.13796492
0.120159805,0.12770388,0.12348457,0.14146131,0.13699898,0.119583115
0.12242942,0.119082145,0.11872863,0.116606146,0.10911469,0.13728186
0.13412103,0.13846943,0.12864754,0.15882124,0.15378769,0.123553745
0.1018463,0.09775929,0.09365168,0.09519312,0.133878,0.1006369
0.09575455,0.09735281,0.09081901,0.10508696,0.117356844,0.09214262
0.12046964,0.11713173,0.108668804,0.110386014,0.10709954,0.12758522
0.13451996,0.12659359,0.12813811,0.13653646,0.11936308,0.14962335
0.115362324,0.12437809,0.12156227,0.13160636,0.1314466,0.119297184
0.13556965,0.16596171,0.13554585,0.16970372,0.15008445,0.13158172
0.13859722,0.13532348,0.13003272,0.15274729,0.13016807,0.1429573
0.12063998,0.116221696,0.113369904,0.13492751,0.11168821,0.113465324
0.1162417,0.12175516,0.11414294,0.13462651,0.1212399,0.1119226
0.14358677,0.14050001,0.14375253,0.15693939,0.14439718,0.15279362
0.091696925,0.10452992,0.098245986,0.10984195,0.09994606,0.089072675
0.14680411,0.15302613,0.13848102,0.16064791,0.14039212,0.15015136
0.13217051,0.13882643,0.12952417,0.15037306,0.12760122,0.13485457
0.11147489,0.109357424,0.11580856,0.113932446,0.14531061,0.11004312
0.095346585,0.100785755,0.12857138,0.12115411,0.10152145,0.12655957
0.13546348,0.13310422,0.1305368,0.15697731,0.1340893,0.1365201
0.13471398,0.14039552,0.12888065,0.16350935,0.15708578,0.13592353
0.1308415,0.12231121,0.12968518,0.121030994,0.111590385,0.15285617
0.1152032,0.1216629,0.11801567,0.1205959,0.13243045,0.11585745
0.12707837,0.123257264,0.12614566,0.13005342,0.12630269,0.13165489
0.10991149,0.114826135,0.11856488,0.1258032,0.13919286,0.11095407
0.1462802,0.14606719,0.13581946,0.17594123,0.14365815,0.14548475
0.12138592,0.1160859,0.112181805,0.1129433,0.10668605,0.13665761
0.14118297,0.1311848,0.12873615,0.15147771,0.14375994,0.13497663
0.12959185,0.12300757,0.123088695,0.1481179,0.14853583,0.13832086
0.12425594,0.127761,0.12620911,0.15392049,0.1331466,0.12433095
0.12804684,0.12652096,0.12357824,0.1424315,0.1336117,0.13372605
