roc_top_bs_bias,roc_top_bs_mpqa,roc_top_bs_weibe,roc_top_bs_all,roc_entire_bs_bias,roc_entire_bs_mpqa,roc_entire_bs_weibe,roc_entire_bs_all,roc_top_covid_bias,roc_top_covid_mpqa,roc_top_covid_weibe,roc_top_covid_all,roc_entire_covid_bias,roc_entire_covid_mpqa,roc_entire_covid_weibe,roc_entire_covid_all,roc_top_celeb_bias,roc_top_celeb_mpqa,roc_top_celeb_weibe,roc_top_celeb_all,roc_entire_celeb_bias,roc_entire_celeb_mpqa,roc_entire_celeb_weibe,roc_entire_celeb_all
0.2222222222222222,0.1875,0.2105263157894737,0.125,0.45,0.30769230769230776,0.2790697674418605,0.42105263157894735,0.39999999999999997,0.42307692307692313,0.4444444444444445,0.49104859335038364,0.4742268041237114,0.42021276595744683,0.42639593908629436,0.5323741007194244,0.5490196078431372,0.4222222222222223,0.48484848484848486,0.5370370370370371,0.49056603773584906,0.6857142857142857,0.6037735849056605,0.6846846846846848
0.19047619047619047,0.17777777777777776,0.09090909090909091,0.18181818181818182,0.4583333333333333,0.13953488372093023,0.4,0.4800000000000001,0.41666666666666663,0.45402298850574707,0.4302325581395349,0.5166666666666666,0.4657534246575343,0.4301675977653631,0.43715846994535523,0.5133689839572193,0.5106382978723404,0.42,0.5208333333333333,0.5252525252525252,0.4565217391304348,0.6521739130434783,0.5473684210526316,0.5934065934065934
0.3333333333333333,0.1818181818181818,0.05555555555555555,0.1935483870967742,0.41025641025641024,0.24390243902439027,0.19047619047619052,0.5238095238095238,0.48333333333333334,0.43553008595988535,0.4104046242774566,0.5096952908587258,0.4664723032069971,0.4542936288088642,0.4010989010989011,0.5300546448087432,0.6249999999999999,0.5681818181818182,0.5057471264367817,0.5656565656565656,0.45161290322580644,0.5154639175257733,0.5625,0.5473684210526316
0.07142857142857144,0.05263157894736842,0.17142857142857146,0.11764705882352941,0.3333333333333333,0.34615384615384615,0.29508196721311475,0.4,0.4247787610619469,0.4444444444444445,0.4228571428571428,0.5277777777777778,0.4593837535014006,0.5041551246537396,0.38670694864048333,0.4917127071823204,0.5,0.6346153846153846,0.5154639175257731,0.52,0.5660377358490566,0.6481481481481481,0.5961538461538461,0.6788990825688074
0.16666666666666666,0.14285714285714282,0.10256410256410256,0.1875,0.37500000000000006,0.28571428571428575,0.35999999999999993,0.39999999999999997,0.47545219638242897,0.46900269541778977,0.4314868804664723,0.5478036175710594,0.5162907268170426,0.4918032786885246,0.4340659340659341,0.5384615384615385,0.5631067961165049,0.5544554455445544,0.4646464646464647,0.47916666666666663,0.5631067961165049,0.5523809523809524,0.5523809523809524,0.6019417475728156
0.048780487804878044,0.05405405405405406,0.125,0.13333333333333333,0.4166666666666667,0.23255813953488377,0.3829787234042554,0.40816326530612246,0.42406876790830944,0.4011299435028248,0.40782122905027934,0.5053763440860215,0.4401114206128133,0.4198895027624309,0.4313725490196078,0.5654450261780104,0.4807692307692307,0.43749999999999994,0.48,0.495049504950495,0.6138613861386139,0.6603773584905661,0.6336633663366336,0.6481481481481481
0.13333333333333333,0.1714285714285714,0.25,0.2857142857142857,0.33333333333333337,0.40816326530612246,0.2439024390243902,0.4545454545454546,0.43502824858757067,0.45197740112994356,0.38438438438438444,0.5040214477211796,0.45355191256830596,0.4463276836158192,0.45142857142857146,0.5359116022099448,0.5,0.6055045871559633,0.5794392523364487,0.6037735849056605,0.5789473684210527,0.6236559139784946,0.5208333333333334,0.6481481481481481
0.1111111111111111,0.27027027027027023,0.11764705882352941,0.23076923076923078,0.4210526315789474,0.25,0.3783783783783784,0.5555555555555555,0.44000000000000006,0.4152046783625731,0.4141689373297003,0.489010989010989,0.4759358288770054,0.45866666666666667,0.40326975476839244,0.5130890052356021,0.5346534653465347,0.5154639175257731,0.46511627906976744,0.4554455445544554,0.5686274509803922,0.6021505376344085,0.6078431372549019,0.6470588235294118
0.12903225806451613,0.16216216216216217,0.17142857142857143,0.07999999999999999,0.4313725490196078,0.38095238095238093,0.3636363636363636,0.39215686274509803,0.44050632911392407,0.46524064171123,0.3809523809523809,0.5188916876574308,0.4340659340659341,0.45983379501385047,0.4032697547683924,0.49604221635883905,0.48,0.52,0.5346534653465347,0.49523809523809526,0.5263157894736842,0.686868686868687,0.5294117647058824,0.5473684210526315
0.28,0.1276595744680851,0.0909090909090909,0.13333333333333333,0.26666666666666666,0.2448979591836735,0.2,0.2272727272727273,0.498567335243553,0.443213296398892,0.4792899408284024,0.5344827586206896,0.47721179624664883,0.4576271186440678,0.4010989010989011,0.512,0.6296296296296295,0.607843137254902,0.5436893203883495,0.6862745098039216,0.48979591836734687,0.5858585858585857,0.5227272727272727,0.6021505376344086
